case_id,correct_diagnosis,model1_score,model1_top3_correct,model2_score,model2_top3_correct,qualitative_notes
Case 1,Erysipelothrix rhusiopathiae infection,0.0,0,0.0,0,Both Qwen models missed the zoonotic Erysipelo...
Case 2,Pulmonary histoplasmosis,0.0,0,0.5,0,Model 1 predicted pulmonary sarcoidosis. Model...
Case 3,Human immunodeficiency virus type 2 infection ...,0.0,0,0.5,0,Model 1 predicted hemorrhagic stroke. Model 2 ...
Case 4,Borrelia miyamotoi infection,0.0,0,0.0,0,Both Qwen models missed Borrelia miyamotoi inf...
Case 5,Vitamin D deficiency,0.5,0,0.5,1,Model 1 recognised a rickets-type process but ...
Case 6,Systemic primary amyloidosis,0.0,0,0.0,0,Both Qwen models missed systemic primary amylo...
Case 7,Inflammatory bowel disease (Crohn’s disease),0.0,0,0.0,0,Both Qwen models missed Crohn's disease and we...
Case 8,Aspiration pneumonia,0.0,0,0.0,0,Both Qwen models missed aspiration pneumonia a...
Case 9,Granulomatosis with polyangiitis,0.0,0,0.5,0,Model 1 predicted pulmonary embolism. Model 2 ...
Case 10,Sarcoidosis,0.0,0,0.0,0,Both Qwen models missed sarcoidosis and were d...
