id,question,opa,opb,opc,opd,cop,subject_name,topic_name,correct_option
39c933d9-6014-4f3d-9b81-cb67eb2ec6b9,Amount of heat that is required to change boiling water into vapor is referred to as,Latent Heat of vaporization,Latent Heat of sublimation,Latent Heat of condensation,Latent heat of fusion,0,Dental,,A
0d3453ee-77ef-400b-9e64-4ff5b6cbfcc8,"In Ricketts esthetic plane, lower lip rests:",1 mm anterior to plane,On the plane,2 mm posterior to plane,1 mm posterior to plane,2,Dental,,C
4080f3a3-a88c-4bcb-a8a3-2add0483fca0,Which score is used for wound infection,Glasgow coma scale,Southampton score,Apgar score,SIRS score,1,Surgery,,B
a45d9322-2e84-4b76-aa18-537bd856d604,All of the following are true about Ifosfamide except:,It is nitrogen mustard,Metabolised by CYP3A4 to form active metabolite,Chloracetaldehyde is active form,Less neurotoxic than cyclophosphamide,3,Pharmacology,,D
5e7cb3e3-57f6-4748-96dd-0b8f6e2fa902,All of the following are true regarding tonsillectomy in children except:,Extracapsular approach is best for cold approach,Sleep apnea is an indication,Adenoids should also be removed if significantly involved,Cricothyroid region is high and anterior in children than adults,0,ENT,,A
0ab83c33-04bd-468e-804e-50dce1bdfa19,"A 55 years old male patient presents with 4 cm x 5 cm lump in right neck. FNAC assessment revealed it to be a squamous cell carcinoma. Clinical assessment of the oral cavity, pharynx, hypopharynx and larynx did not yield any tumor. Whole body PET scan did not show any increased uptake except for the neck mass. A diagnosis of unknown primary was made. According to AJCC system of classification, the TNM status of the tumor would be:",T1N2M0,TON2aMO,T1N2aMO,TxN2aMx,3,Surgery,,D
9c1caee2-628f-4a80-b55e-8480760cb634,The component that sensitizes bacteria and virus to UV irradiation,Lipids,Carbohydrates,Inorganic salts,Nucleic acids,3,Microbiology,,D
2e8bf810-fae5-49c4-8d7d-b27d8073d414,Which of the following is true about Catlan's appliance?,It is used to treat cross-bite of maxillary posterior teeth,It is constructed on the lower anterior teeth with an inclined plane,If used for a long period it results in anterior deep bite,Of constructed on the upper anterior teeth it has a 45 degree angulation,1,Dental,,B
6bd02755-f813-46d8-87ff-e40297a2a949,In female adrenal gland secretes which hormone?,Progesterone,Testosterone,Estrogen,DHEA,3,Physiology,,D
5d66114f-40b7-4270-92d5-50be1cda6b61,"Diminution in normal size of the body, well proportioned body, fine sparse hair on the head and other hairy regions wrinkled atrophic skin and often hypogonadism could be diagnosed as suffering from:",Hypothyroidism,Hypopituitarism,Hyperthyroidism,None of the above,1,Medicine,,B
3645e915-e8a7-44fe-8cad-734ce6b71063,Intra-epithelial bulla are found in,Pemphigus,Bullous pemphigoid,Bullous Lichen planus,Pemphigoid,0,Pathology,,A
693c8309-0775-4b3a-899a-5fd7064993f3,Which of the following is characteristic of T.B. otitis media -,Marginal perforation,Attic perforation,Large central perforation,Multiple perforation,3,ENT,,D
fcbb415d-5122-4a17-8042-196d3e5add29,"A 14 year old boy has delayed eruption of the
second molar. Radiography shows a dentigerous cyst surrounding the crown of the tooth. The treatment of choice is:",Extraction of the molar,Aspiration of the cyst,Observe,Expose the crown and keep it exposed,3,Surgery,,D
00b083b3-b213-4b45-bbc4-301c4156576c,Which of the following is not true about latent phase of labour?,According to ACOG it stas after 3-4 cm cervical dilatation but they are planning to increase it to 5 cm,Begins at the end of active phase and is a pa of 1st stage of labour,Patient may present with false labour due to mild cramps,Stas with contractions of the uterus,2,Gynaecology & Obstetrics,,C
cb022556-5a47-402a-b52c-725b6c314e83,Sodium nitroprusside is metabolized to form an active metabolite. This active metabolized to form an active metabolite. This active metabolite of sodium nitroprusside act activation of:,Phospholipase A,Phospholipase C,Guanylate cyclase,Protein Kinase C,2,Pharmacology,AIIMS 2018,C
ad724a47-320a-4b79-81d9-8bea8da0f4a5,"Without supervision, allowed to give dentures",Denturist,Hygienist,School Dental nurse,Dental therapist,0,Dental,,A
7405ebae-1cba-48c4-bf16-8dea393e97ee,Which of the following movements are performed by a non — working condyle?,Straightward,Down wards forwards and lateral,Down wards forwards and medial,Down wards Back wards and medial,2,Dental,,C
72b14998-6b80-45d4-ad70-9766f94e8026,Iron enters enterocyte by :,Divalent cation transpoer,Ferropoin,Hephaestin,Ceruloplasmin,0,Biochemistry,AIIMS 2019,A
80ca7074-85db-4ead-9b69-23c32b811d94,Halo effect surrounding the root of tooth on IOPA X-Ray is seen with?,Horizontal root fracture,Root caries,Widening of periodontal ligament space,Periapical-periostitis,3,Dental,,D
8abcdea2-c351-4df7-ab42-8898201f9949,"For which of the following, you will not perform pulpectomy?",Primary teeth with sinus tract,Primary teeth without successor,Primary teeth with furcation pathology,Pulpless primary teeth next to the line of a palatal cleft,2,Dental,,C
